Region	country
Western Europe	Austria
Western Europe	Belgium
Western Europe	Cyprus
Western Europe	Denmark
Western Europe	Finland
Western Europe	France
Western Europe	Germany
Western Europe	Greece
Western Europe	Iceland
Western Europe	Ireland
Western Europe	Italy
Western Europe	Luxembourg
Western Europe	Malta
Western Europe	Netherlands
Western Europe	North Cyprus
Western Europe	Norway
Western Europe	Portugal
Western Europe	Spain
Western Europe	Sweden
Western Europe	Switzerland
Western Europe	United Kingdom
Central and Eastern Europe	Albania
Central and Eastern Europe	Bosnia and Herzegovina
Central and Eastern Europe	Bulgaria
Central and Eastern Europe	Croatia
Central and Eastern Europe	Czech Republic
Central and Eastern Europe	Estonia
Central and Eastern Europe	Hungary
Central and Eastern Europe	Kosovo
Central and Eastern Europe	Latvia
Central and Eastern Europe	Lithuania
Central and Eastern Europe	Macedonia
Central and Eastern Europe	Montenegro
Central and Eastern Europe	Poland
Central and Eastern Europe	Romania
Central and Eastern Europe	Serbia
Central and Eastern Europe	Slovakia
Central and Eastern Europe	Slovenia
Commonwealth of Independent States	Armenia
Commonwealth of Independent States	Azerbaijan
Commonwealth of Independent States	Belarus
Commonwealth of Independent States	Georgia
Commonwealth of Independent States	Kazakhstan
Commonwealth of Independent States	Kyrgyzstan
Commonwealth of Independent States	Moldova
Commonwealth of Independent States	Russia
Commonwealth of Independent States	Tajikistan
Commonwealth of Independent States	Turkmenistan
Commonwealth of Independent States	Ukraine
Commonwealth of Independent States	Uzbekistan
Southeast Asia	Cambodia
Southeast Asia	Indonesia
Southeast Asia	Laos
Southeast Asia	Malaysia
Southeast Asia	Myanmar
Southeast Asia	Philippines
Southeast Asia	Singapore
Southeast Asia	Thailand
Southeast Asia	Vietnam
South Asia	Afghanistan
South Asia	Bangladesh
South Asia	Bhutan
South Asia	India
South Asia	Nepal
South Asia	Pakistan
South Asia	Sri Lanka
East Asia	China
East Asia	Hong Kong S.A.R.
East Asia	Japan
East Asia	Mongolia
East Asia	South Korea
East Asia	Taiwan Province of China
Latin America and Caribbean	Argentina
Latin America and Caribbean	Belize
Latin America and Caribbean	Bolivia
Latin America and Caribbean	Brazil
Latin America and Caribbean	Chile
Latin America and Caribbean	Colombia
Latin America and Caribbean	Costa Rica
Latin America and Caribbean	Cuba
Latin America and Caribbean	Dominican Republic
Latin America and Caribbean	Ecuador
Latin America and Caribbean	El Salvador
Latin America and Caribbean	Guatemala
Latin America and Caribbean	Guyana
Latin America and Caribbean	Haiti
Latin America and Caribbean	Honduras
Latin America and Caribbean	Jamaica
Latin America and Caribbean	Mexico
Latin America and Caribbean	Nicaragua
Latin America and Caribbean	Panama
Latin America and Caribbean	Paraguay
Latin America and Caribbean	Peru
Latin America and Caribbean	Suriname
Latin America and Caribbean	Trinidad and Tobago
Latin America and Caribbean	Uruguay
Latin America and Caribbean	Venezuela
North America and ANZ	Australia
North America and ANZ	Canada
North America and ANZ	New Zealand
North America and ANZ	United States
Middle East and North Africa	Algeria
Middle East and North Africa	Bahrain
Middle East and North Africa	Egypt
Middle East and North Africa	Iran
Middle East and North Africa	Iraq
Middle East and North Africa	Israel
Middle East and North Africa	Jordan
Middle East and North Africa	Kuwait
Middle East and North Africa	Lebanon
Middle East and North Africa	Libya
Middle East and North Africa	Morocco
Middle East and North Africa	Oman
Middle East and North Africa	Palestinian Territories
Middle East and North Africa	Qatar
Middle East and North Africa	Saudi Arabia
Middle East and North Africa	Syria
Middle East and North Africa	Tunisia
Middle East and North Africa	Turkey
Middle East and North Africa	United Arab Emirates
Middle East and North Africa	Yemen
Sub-Saharan Africa	Angola
Sub-Saharan Africa	Benin
Sub-Saharan Africa	Botswana
Sub-Saharan Africa	Burkina Faso
Sub-Saharan Africa	Burundi
Sub-Saharan Africa	Cameroon
Sub-Saharan Africa	Central African Republic
Sub-Saharan Africa	Chad
Sub-Saharan Africa	Comoros
Sub-Saharan Africa	Congo (Brazzaville)
Sub-Saharan Africa	Congo (Kinshasa)
Sub-Saharan Africa	Djibouti
Sub-Saharan Africa	Ethiopia
Sub-Saharan Africa	Gabon
Sub-Saharan Africa	Ghana
Sub-Saharan Africa	Guinea
Sub-Saharan Africa	Ivory Coast
Sub-Saharan Africa	Kenya
Sub-Saharan Africa	Lesotho
Sub-Saharan Africa	Liberia
Sub-Saharan Africa	Madagascar
Sub-Saharan Africa	Malawi
Sub-Saharan Africa	Mali
Sub-Saharan Africa	Mauritania
Sub-Saharan Africa	Mauritius
Sub-Saharan Africa	Mozambique
Sub-Saharan Africa	Namibia
Sub-Saharan Africa	Niger
Sub-Saharan Africa	Nigeria
Sub-Saharan Africa	Rwanda
Sub-Saharan Africa	Senegal
Sub-Saharan Africa	Sierra Leone
Sub-Saharan Africa	Somalia
Sub-Saharan Africa	Somaliland region
Sub-Saharan Africa	South Africa
Sub-Saharan Africa	South Sudan
Sub-Saharan Africa	Sudan
Sub-Saharan Africa	Swaziland
Sub-Saharan Africa	Tanzania
Sub-Saharan Africa	Togo
Sub-Saharan Africa	Uganda
Sub-Saharan Africa	Zambia
Sub-Saharan Africa	Zimbabwe
